,Date,Home Score,Home Team,Line,Line ,Visitor,Visitor Score
371,10/14/1978,28.0,Bowling Green, ,,Kent State,20.0
372,10/14/1978,48.0,Nebraska,27.0,,Kansas State,14.0
373,10/14/1978,17.0,Mississippi,0.0,,Kentucky,24.0
374,10/14/1978,55.0,West Texas A+M, ,,Lamar,16.0
375,10/14/1978,17.0,Utah State, ,,Long Beach State,33.0
376,10/14/1978,15.0,Michigan,15.0,,Michigan State,24.0
377,10/14/1978,9.0,Syracuse,-13.5,,Maryland,24.0
378,10/14/1978,24.0,Georgia Tech,-2.0,,Miami-Florida,19.0
379,10/14/1978,3.0,Marshall, ,,Miami-Ohio,29.0
380,10/14/1978,29.0,Wake Forest,-12.5,,North Carolina,34.0
381,10/14/1978,31.0,McNeese State, ,,UL-Monroe,10.0
382,10/14/1978,14.0,Fullerton State, ,,Nevada-Reno,37.0
383,10/14/1978,26.0,Texas, ,,North Texas,16.0
384,10/14/1978,51.0,Louisville, ,,Northwestern St(LA),7.0
385,10/14/1978,38.0,Indiana,18.5,,Northwestern,10.0
386,10/14/1978,24.0,South Carolina, ,,Ohio,7.0
387,10/14/1978,27.0,Purdue,-7.5,,Ohio State,16.0
388,10/14/1978,16.0,Kansas,-26.0,,Oklahoma,17.0
389,10/14/1978,7.0,Fresno State, ,,Pacific,27.0
390,10/14/1978,14.0,Brown,6.0,,Pennsylvania,0.0
391,10/14/1978,26.0,Notre Dame,5.5,,Pittsburgh,17.0
392,10/14/1978,14.0,Columbia,3.5,,Princeton,10.0
393,10/14/1978,14.0,Texas Christian,7.5,,Rice,21.0
394,10/14/1978,20.0,Arizona State,-13.5,,Southern Cal,7.0
395,10/14/1978,31.0,Wyoming, ,,San Diego State,22.0
396,10/14/1978,30.0,Boise State, ,,San Jose State,15.0
397,10/14/1978,21.0,Baylor,-2.5,,S-M-U,28.0
398,10/14/1978,24.0,Texas-Arlington, ,,UL-Lafayette,3.0
399,10/14/1978,17.0,Western Michigan, ,,Toledo,7.0
400,10/14/1978,23.0,New Mexico,-4.0,,Texas Tech,36.0
401,10/14/1978,23.0,New Mexico State, ,,Tulsa,20.0
402,10/14/1978,33.0,Houston,-8.0,,Texas A+M,0.0
403,10/14/1978,6.0,Richmond, ,,Virginia Military,23.0
404,10/14/1978,31.0,Stanford,-1.0,,Washington,34.0
405,10/14/1978,45.0,U.C.L.A.,10.5,,Washington State,31.0
406,10/14/1978,30.0,Utah, ,,Weber State,7.0
407,10/14/1978,26.0,Memphis, ,,Wichita State,13.0
408,10/14/1978,24.0,Northern Illinois, ,,Western Illinois,20.0
409,10/14/1978,20.0,Illinois,-6.0,,Wisconsin,20.0
410,10/14/1978,16.0,Virginia Tech,5.0,,West Virginia,3.0
411,10/14/1978,10.0,Dartmouth,-7.0,,Yale,3.0
412,10/21/1978,17.0,Tennessee,-15.0,,Alabama,30.0
413,10/21/1978,28.0,Texas,-3.5,,Arkansas,21.0
414,10/21/1978,31.0,Florida,17.5,,Army,7.0
